naca63006
1.000000 0.000000
0.950000 0.001380
0.900000 0.003830
0.850000 0.006830
0.800000 0.010080
0.750000 0.013420
0.700000 0.016700
0.650000 0.019820
0.600000 0.022670
0.550000 0.025170
0.500000 0.027230
0.450000 0.028770
0.400000 0.029710
0.350000 0.030000
0.300000 0.029540
0.250000 0.028410
0.200000 0.026560
0.150000 0.023860
0.100000 0.020100
0.075000 0.017660
0.050000 0.014620
0.025000 0.010570
0.012500 0.007710
0.007500 0.006090
0.005000 0.005030
0.000000 -0.000000
0.005000 -0.005030
0.007500 -0.006090
0.012500 -0.007710
0.025000 -0.010570
0.050000 -0.014620
0.075000 -0.017660
0.100000 -0.020100
0.150000 -0.023860
0.200000 -0.026560
0.250000 -0.028410
0.300000 -0.029540
0.350000 -0.030000
0.400000 -0.029710
0.450000 -0.028770
0.500000 -0.027230
0.550000 -0.025170
0.600000 -0.022670
0.650000 -0.019820
0.700000 -0.016700
0.750000 -0.013420
0.800000 -0.010080
0.850000 -0.006830
0.900000 -0.003830
0.950000 -0.001380
1.000000 -0.000000
